"Port Group","Year","Edge Density","dataset"
"Los Angeles",2019,0.577777777777778,"Network_Stats"
"Unknown Ports",2019,0.266666666666667,"Network_Stats"
"Puget Sound",2020,0.305555555555556,"Network_Stats"
"North WA Coast",2020,0.333333333333333,"Network_Stats"
"WA Coast",2020,0.571428571428571,"Network_Stats"
"Astoria",2020,0.6,"Network_Stats"
"Tillamook",2020,0.6,"Network_Stats"
"Columbia River",2020,NA,"Network_Stats"
"Newport",2020,0.6,"Network_Stats"
"Coos Bay",2020,0.777777777777778,"Network_Stats"
"Brookings",2020,0.9,"Network_Stats"
"Crescent City",2020,0.733333333333333,"Network_Stats"
"Eureka",2020,0.571428571428571,"Network_Stats"
"Morro Bay",2020,0.571428571428571,"Network_Stats"
"Fort Bragg",2020,0.466666666666667,"Network_Stats"
"Bodega Bay",2020,1,"Network_Stats"
"San Francisco",2020,0.571428571428571,"Network_Stats"
"San Diego",2020,0.722222222222222,"Network_Stats"
"Monterey",2020,0.571428571428571,"Network_Stats"
"Santa Barbara",2020,0.666666666666667,"Network_Stats"
"Los Angeles",2020,0.622222222222222,"Network_Stats"
"Unknown Ports",2020,0.178571428571429,"Network_Stats"
"Puget Sound",2021,0.333333333333333,"Network_Stats"
"North WA Coast",2021,0.285714285714286,"Network_Stats"
"WA Coast",2021,0.6,"Network_Stats"
"Astoria",2021,0.809523809523809,"Network_Stats"
"Tillamook",2021,0.6,"Network_Stats"
"Columbia River",2021,NA,"Network_Stats"
"Newport",2021,0.857142857142857,"Network_Stats"
"Coos Bay",2021,0.571428571428571,"Network_Stats"
"Brookings",2021,0.866666666666667,"Network_Stats"
"Crescent City",2021,0.7,"Network_Stats"
"Eureka",2021,0.8,"Network_Stats"
"Morro Bay",2021,0.5,"Network_Stats"
"Fort Bragg",2021,0.733333333333333,"Network_Stats"
"Bodega Bay",2021,0.833333333333333,"Network_Stats"
"San Francisco",2021,0.7,"Network_Stats"
"San Diego",2021,0.694444444444444,"Network_Stats"
"Monterey",2021,0.714285714285714,"Network_Stats"
"Santa Barbara",2021,0.638888888888889,"Network_Stats"
"Los Angeles",2021,0.694444444444444,"Network_Stats"
"Unknown Ports",2021,0.142857142857143,"Network_Stats"
"Puget Sound",2022,0.25,"Network_Stats"
"North WA Coast",2022,0.266666666666667,"Network_Stats"
"WA Coast",2022,0.666666666666667,"Network_Stats"
"Astoria",2022,0.857142857142857,"Network_Stats"
"Tillamook",2022,0.5,"Network_Stats"
"Columbia River",2022,1,"Network_Stats"
"Newport",2022,0.8,"Network_Stats"
"Coos Bay",2022,0.833333333333333,"Network_Stats"
"Brookings",2022,0.833333333333333,"Network_Stats"
"Crescent City",2022,0.666666666666667,"Network_Stats"
"Eureka",2022,0.7,"Network_Stats"
"Morro Bay",2022,0.4,"Network_Stats"
"Fort Bragg",2022,0.533333333333333,"Network_Stats"
"Bodega Bay",2022,0.523809523809524,"Network_Stats"
"San Francisco",2022,0.8,"Network_Stats"
"San Diego",2022,0.545454545454545,"Network_Stats"
"Monterey",2022,0.583333333333333,"Network_Stats"
"Santa Barbara",2022,0.805555555555556,"Network_Stats"
"Los Angeles",2022,0.583333333333333,"Network_Stats"
"Unknown Ports",2022,0.0666666666666667,"Network_Stats"
"Puget Sound",2023,0.138888888888889,"Network_Stats"
"North WA Coast",2023,0.380952380952381,"Network_Stats"
"WA Coast",2023,0.666666666666667,"Network_Stats"
"Astoria",2023,0.857142857142857,"Network_Stats"
"Tillamook",2023,0.5,"Network_Stats"
"Columbia River",2023,NA,"Network_Stats"
"Newport",2023,0.571428571428571,"Network_Stats"
"Coos Bay",2023,0.428571428571429,"Network_Stats"
"Brookings",2023,0.833333333333333,"Network_Stats"
"Crescent City",2023,0.6,"Network_Stats"
"Eureka",2023,0.7,"Network_Stats"
"Morro Bay",2023,0.380952380952381,"Network_Stats"
"Fort Bragg",2023,0.666666666666667,"Network_Stats"
"Bodega Bay",2023,0.5,"Network_Stats"
"San Francisco",2023,0.9,"Network_Stats"
"San Diego",2023,0.678571428571429,"Network_Stats"
"Monterey",2023,0.428571428571429,"Network_Stats"
"Santa Barbara",2023,0.75,"Network_Stats"
"Los Angeles",2023,0.5,"Network_Stats"
"Unknown Ports",2023,0.1,"Network_Stats"
